date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:17	5397/5397	---MCZ	200	added ('OK')	text/html	etag:W/%2245ad322834a9d826cb40b012a76ae4de%22	https://max-happy.vercel.app/	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/index.html	(from )
14:26:17	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2018:26:16%20GMT	https://max-happy.vercel.app/robots.txt		(from )
14:26:17	951/951	---M--	200	added ('OK')	image/png	etag:%22336177a4dd1f08858556f243b092ab83%22	https://max-happy.vercel.app/image/favicon-16x16.png	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/image/favicon-16x16.png	(from https://max-happy.vercel.app/)
14:26:17	6516/6516	---MCZ	200	added ('OK')	text/css	etag:W/%2237d0c32aed79a895017127a0ddfcb4ce%22	https://max-happy.vercel.app/conten/style.css	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/conten/style.css	(from https://max-happy.vercel.app/)
14:26:18	6060/6060	---MCZ	200	added ('OK')	text/css	etag:W/%228713c17dfb1dd65191301342e88998a5%22	https://max-happy.vercel.app/css/overlay.css	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/css/overlay.css	(from https://max-happy.vercel.app/)
14:26:18	3435/3435	---MCZ	200	added ('OK')	text/css	etag:W/%2207393111163d131858441d6f126d3ab4%22	https://max-happy.vercel.app/css/styles.css	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/css/styles.css	(from https://max-happy.vercel.app/)
14:26:18	1929/1929	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2202e1207b604ad4abe40d03fe45ddba4b%22	https://max-happy.vercel.app/image/live.svg	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/image/live.svg	(from https://max-happy.vercel.app/)
14:26:18	9396/9396	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b1edf76783b96bc6b3a71d28fb4b80a8%22	https://max-happy.vercel.app/previo.svg	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/previo.svg	(from https://max-happy.vercel.app/)
14:26:19	9384/9384	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf6d68af77ba034e85c506a62e5c5377%22	https://max-happy.vercel.app/nxt.svg	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/nxt.svg	(from https://max-happy.vercel.app/)
14:26:19	20031/20031	---MCZ	200	added ('OK')	application/javascript	etag:W/%228435785fde5fb6cc134acc27fa07d82e%22	https://max-happy.vercel.app/js/link.js	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/js/link.js	(from https://max-happy.vercel.app/)
14:26:19	282/282	---M--	200	added ('OK')	application/javascript	etag:%2283fe2a03c11682510ce1c32ee05d2f9c%22	https://max-happy.vercel.app/js/ads.js	C:/Users/USUARIO/Desktop/mio/zazaza/max-happy.vercel.app/js/ads.js	(from https://max-happy.vercel.app/)
